X,Y,objectid,data_year,portfolio_manager_id,philadelphia_building_id,street_address,property_name,postal_code,num_of_buildings,year_built,primary_prop_type_epa_calc,total_floor_area_bld_pk_ft2,electric_use_kbtu,natural_gas_use_kbtu,fuel_oil_02_use_kbtu,steam_use_kbtu,energy_star_score,site_eui_kbtuft2,source_eui_kbtuft2,weather_norm_site_eui_kbtuft2,weather_norm_sour_eui_kbtuft2,total_ghg_emissions_mtco2e,water_use_all_kgal,district_chilled_water,water_score,estar_certified,compliance_type,benchmarking_status,x_coord,y_coord
-75.2365613591049,39.8991299253079,1,2022,23418185, ,3501 ISLAND AVE,Giant Carlisle #9232 (Warehouse),19153,1,1987,Distribution Center,84471,7332507.4,5215377.5,0,0,39,101.4,210.1,103.8,6.8,915.8,525,0, ,No,Required Compliance,Complied,-75.23655606,39.89911556
-75.1553958351134,39.9129847709318,2,2022,5921759, ,330 W Oregon Av,Colligas Family Markets,19148,1,1980,Supermarket/Grocery Store,58696,7789780.2,6052410.7,0,0,69,235.8,479.9,239.9,102.6,1000.1,2029.3,0, ,No,Required Compliance,Complied,-75.15559822,39.91313854
-75.1836469736403,39.9283464498271,3,2022,22425337,782801101,1901 S 23RD ST,McDaniel,19145,1,1937,K-12 School,61000,1358818.8,7861,0,0,91,22.4,62.5,21.4,105.9,118.8,30.1,0, ,No,Required Compliance,Complied,-75.18120023,39.92939668
-75.1057747984296,40.0306148209247,4,2022,6396423,884119600,777 MAYFAIR ST,CubeSmart - Mayfair Street,19124,1,2005,Self-Storage Facility,68479,385860.7,491912,0,0,0,12.8,23.3,13.9,72.6,59.7,9.8,0, ,No,Required Compliance,Complied,-75.10576971,40.03059977
-75.0978174834099,39.9915674719542,5,2022,3635022, ,3501 CEDAR ST,Kawin LLC,19134,2,1983,Strip Mall,52261,129737.6,0,0,0,0,2.5,7,2.5,135.3,11.7,2.8,0, ,No,Required Compliance,Complied,-75.0978124,39.99155251
-75.018990720751,40.0714638175284,6,2022,3773860,884224004,2800 GRANT AVE,"Muller, Inc.",19114,1,1984,Non-Refrigerated Warehouse,214815,5118907.6,1074897.5,0,0,78,25.6,63.9,24.9,28.2,503.1,290.2,0, ,Yes,Required Compliance,Complied,-75.01898589,40.07144838
-75.2106711046786,40.0070773828776,7,2022,17774763,883750000,4100 PRESIDENTIAL BLV,Courtyard Philadelphia City Avenue,19131,1,1981,Hotel,112823,8884684.2,7479565.6,0,0,90,61.6,123.1,61.5,176.9,1172.6,17768.1,0, ,No,Required Compliance,Complied,-75.21066569,40.00706275
-75.1697908856559,39.9481265207953,8,2022,21547738,888089352,1706 RITTENHOUSE SQ,1706 Rittenhouse Square,19103,1,2010,Multifamily Housing,156175,4483368,0,0,4027246.6,21,72.4,147.9,73.9,12.4,658,3413.5,0, ,No,Required Compliance,Complied,-75.1697857,39.94811192
-75.1794065280577,39.98653570239,9,2022,5043039,882921243,2815 RIDGE AVE,Ajile Properties LLC,19121,1,2012,Retail Store,21656,71049.4,0,0,0,0,3.3,9.2,3.4,113.3,6.2,592.3,0, ,No,Voluntary Compliance,Voluntarily Complied,-75.17940122,39.98652102
-75.2222307934907,39.9648533092965,10,2022,3782840,3782840,5101 ASPEN ST,Church of God Fellowship House,19139,1,1910,Worship Facility,1560,9052.6,25886.8,0,0,76,22.4,33.7,22.4,541.3,2.2,12,0, ,No,Voluntary Compliance,Voluntarily Complied,-75.2222254,39.9648388
