,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,outcome,log_dur
0,38,blue-collar,married,secondary,no,1663,yes,no,cellular,13,apr,217,3,327,1,failure,no,0,2.3364597338485296
1,38,blue-collar,divorced,secondary,no,595,yes,no,cellular,7,may,245,3,-1,0,unknown,no,0,2.3891660843645326
2,34,blue-collar,married,secondary,no,360,yes,no,telephone,19,nov,46,1,182,2,failure,no,0,1.662757831681574
3,60,admin.,married,secondary,no,1025,no,no,cellular,6,aug,388,8,-1,0,unknown,no,0,2.5888317255942073
4,42,management,married,tertiary,no,520,no,no,cellular,4,nov,158,1,-1,0,unknown,no,0,2.1986570869544226
5,26,services,single,secondary,no,209,yes,no,cellular,22,jul,319,2,-1,0,unknown,no,0,2.503790683057181
6,35,housemaid,married,tertiary,no,20,yes,yes,cellular,17,jul,505,3,-1,0,unknown,no,0,2.7032913781186614
7,38,services,married,secondary,no,434,yes,no,unknown,20,may,411,1,-1,0,unknown,no,0,2.6138418218760693
8,32,unemployed,divorced,primary,no,0,no,no,cellular,15,jul,175,4,-1,0,unknown,no,0,2.2430380486862944
9,32,technician,single,tertiary,no,2204,yes,no,cellular,21,nov,11,4,-1,0,unknown,no,0,1.041392685158225
10,56,self-employed,married,secondary,no,800,no,yes,cellular,9,jul,170,1,-1,0,unknown,no,0,2.230448921378274
11,36,management,married,tertiary,no,23,no,no,cellular,26,aug,133,11,-1,0,unknown,no,0,2.123851640967086
12,35,management,married,tertiary,no,2682,yes,no,cellular,9,jul,156,1,-1,0,unknown,no,0,2.1931245983544616
13,38,admin.,divorced,tertiary,no,86,yes,no,unknown,6,may,218,1,-1,0,unknown,no,0,2.3384564936046046
14,32,technician,married,secondary,no,266,yes,no,cellular,19,aug,168,2,-1,0,unknown,no,0,2.225309281725863
15,43,entrepreneur,married,tertiary,no,210,no,no,cellular,29,jul,646,2,-1,0,unknown,no,0,2.8102325179950842
16,28,management,single,tertiary,no,5549,no,no,cellular,28,jul,383,6,-1,0,unknown,no,0,2.583198773968623
17,40,self-employed,married,tertiary,no,13669,no,no,cellular,15,oct,138,1,136,8,other,no,0,2.1398790864012365
18,65,retired,divorced,primary,no,1840,no,no,cellular,1,jun,383,2,188,5,failure,no,0,2.583198773968623
19,35,blue-collar,married,secondary,no,444,yes,no,cellular,15,apr,244,3,-1,0,unknown,no,0,2.3873898263387296
20,40,housemaid,married,primary,no,1832,no,no,cellular,6,feb,213,4,-1,0,unknown,no,0,2.3283796034387376
21,54,management,married,tertiary,no,0,no,no,cellular,16,jul,118,5,-1,0,unknown,no,0,2.0718820073061255
22,36,technician,divorced,secondary,no,487,no,yes,cellular,11,aug,268,3,-1,0,unknown,no,0,2.428134794028789
23,52,management,married,tertiary,no,0,yes,no,cellular,9,jul,197,1,-1,0,unknown,no,0,2.294466226161593
24,31,admin.,married,secondary,no,236,yes,yes,telephone,4,may,211,3,-1,0,unknown,no,0,2.3242824552976926
25,32,technician,single,tertiary,no,2185,no,no,cellular,20,nov,354,2,-1,0,unknown,no,0,2.5490032620257876
26,55,technician,married,unknown,no,574,yes,no,cellular,29,jan,243,2,-1,0,unknown,no,0,2.385606273598312
27,31,management,married,tertiary,yes,-253,no,no,cellular,12,aug,220,4,-1,0,unknown,no,0,2.342422680822206
28,44,entrepreneur,married,secondary,no,6649,yes,no,cellular,19,nov,354,2,-1,0,unknown,no,0,2.5490032620257876
