year,geography_name,geography,sex,race_ethnicity,age_category,metric_name,metric_value,lower_bound,upper_bound,uncertainty_type,source,category,quality_flag,candida_auris_case_type,blood_lead_level,fatal_nonfatal_shootings,leading_cause_death,leading_cause_death_rank,drug_category,aqi_category,syphilis_transmission_category,smoke_type,objectid
2015-2021,Philadelphia,County,Male,Black (NH),All ages,percent_diagnosed_depressive_disorder,16.00946,12.8093,19.20961,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Mental Health,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2015-2021,Philadelphia,County,Male,Hispanic,All ages,percent_diagnosed_depressive_disorder,16.50756,10.26598,22.74915,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Mental Health,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2015-2021,Philadelphia,County,Male,White (NH),All ages,percent_diagnosed_depressive_disorder,17.30073,14.79907,19.8024,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Mental Health,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
2015-2021,Philadelphia,County,Female,All races/ethnicities,All ages,percent_diagnosed_depressive_disorder,26.28986,24.30674,28.27299,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Mental Health,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2015-2021,Philadelphia,County,Male,All races/ethnicities,All ages,percent_diagnosed_depressive_disorder,16.20962,14.39281,18.02644,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Mental Health,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
2015-2021,Philadelphia,County,All sexes,All races/ethnicities,All adults,percent_diagnosed_diabetes,11.84581,10.85757,12.83405,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Chronic Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
2015-2021,Philadelphia,County,Female,Asian (NH),All adults,percent_diagnosed_diabetes,7.2459,1.44088,13.05091,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Chronic Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2015-2021,Philadelphia,County,Female,Black (NH),All adults,percent_diagnosed_diabetes,17.26149,14.74996,19.77302,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Chronic Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
2015-2021,Philadelphia,County,Female,Hispanic,All adults,percent_diagnosed_diabetes,11.21469,7.15126,15.27812,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Chronic Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
2015-2021,Philadelphia,County,Female,White (NH),All adults,percent_diagnosed_diabetes,6.86227,5.38286,8.34168,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Chronic Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
2015-2021,Philadelphia,County,Male,Asian (NH),All adults,percent_diagnosed_diabetes,5.33744,0.1186,10.55628,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Chronic Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
2015-2021,Philadelphia,County,Male,Black (NH),All adults,percent_diagnosed_diabetes,17.86308,14.66843,21.05773,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Chronic Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
2015-2021,Philadelphia,County,Male,Hispanic,All adults,percent_diagnosed_diabetes,5.57651,2.25355,8.89946,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Chronic Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
2015-2021,Philadelphia,County,Male,White (NH),All adults,percent_diagnosed_diabetes,9.78941,7.87069,11.70813,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Chronic Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
2015-2021,Philadelphia,County,Female,All races/ethnicities,All adults,percent_diagnosed_diabetes,11.96534,10.60734,13.32334,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Chronic Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
2015-2021,Philadelphia,County,Male,All races/ethnicities,All adults,percent_diagnosed_diabetes,11.73694,10.22765,13.24623,95% Confidence Interval,2015-2021 Behavioral Risk Factor Surveillance System,Chronic Health Conditions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
